start_station_name,num
"Braham Street, Aldgate",161985
"Flamborough Street, Limehouse",161748
"Bath Street, St. Luke's",161274
"Endsleigh Gardens, Euston",160841
"Graham Street, Angel",159628
"Falcon Road, Clapham Junction",158138
"Boston Place, Marylebone",158137
"Clerkenwell Green, Clerkenwell",157949
"British Museum, Bloomsbury",157065
"Bunhill Row, Moorgate",157038
"Great Marlborough Street, Soho",156749
"West Smithfield Rotunda, Farringdon",156530
"Pritchard's Road, Bethnal Green",155984
"Lambeth Palace Road, Waterloo",155156
"Green Street, Mayfair",155034
"Battersea Power Station, Battersea Park",154431
"Westbridge Road, Battersea",153756
"Monument Street, Monument",153340
"Wright's Lane, Kensington",151734
"Northumberland Avenue, Strand",150790
"Kennington Cross, Kennington",150507
"Imperial College, Knightsbridge",150261
"Tysoe Street, Clerkenwell",150018
"Tavistock Street, Covent Garden",149670
"Milroy Walk, South Bank",149449
"Park Road (Baker Street), The Regent's Park",149287
"Southampton Street, Strand",148449
"Bayley Street , Bloomsbury",148392
"Queen Victoria Street, St. Paul's",148078
"Marylebone Lane, Marylebone",147956
"Tanner Street, Bermondsey",147878
"Sloane Avenue, Knightsbridge",147340
"Liverpool Road (N1 Centre), Angel",146563
"Westminster Pier, Westminster",146382
"Howick Place, Westminster",146017
"Porchester Place, Paddington",145748
"Drayton Gardens, West Chelsea",145506
"Fournier Street, Whitechapel",144904
"Elizabeth Bridge, Victoria",144704
"Doric Way , Somers Town",144392
"Cleveland Way, Stepney",144375
"Hampstead Road, Euston",143667
"Castlehaven Road, Camden Town",143501
"Bramham Gardens, Earl's Court",143190
"Granby Street, Shoreditch",141594
"Stepney Green Station, Stepney",140317
"Binfield Road, Stockwell",140063
"Devonshire Terrace, Bayswater",140038
"Bricklayers Arms, Borough",139908
"All Saints Church, Portobello",139718
"Victoria Park Road, Hackney Central",139703
"Shoreditch Park, Hoxton",139701
"Podium, Queen Elizabeth Olympic Park",139591
"Wells Street, Fitzrovia",139262
"Parsons Green Station, Parsons Green",138964
"Waterloo Place, St. James's",138784
"Montpelier Street, Knightsbridge",138367
"St. Bride Street, Holborn",138322
"Hinde Street, Marylebone",138137
"Museum of London, Barbican",137133
"Russell Square Station, Bloomsbury",136978
"Bolsover Street, Fitzrovia",136617
"Bonny Street, Camden Town",136472
"Belgrave Road, Victoria",136434
"Warwick Avenue Station, Maida Vale",136288
"Greenland Road, Camden Town",135845
"Frith Street, Soho",135619
"Westferry DLR, Limehouse",134608
"Good's Way, King's Cross",134440
"Wren Street, Holborn",134375
"Pitfield Street North,Hoxton",134265
"Abingdon Green, Westminster",134157
"Guilford Street , Bloomsbury",133542
"Golden Square, Soho",133336
"Parson's Green , Parson's Green",133225
"New Inn Yard, Shoreditch",132951
"Queen Mother Sports Centre, Victoria",132621
"Howland Street, Fitzrovia",132259
"Lancaster Gate , Bayswater",132186
"Shadwell Station, Shadwell",131949
"Woodstock Grove, Shepherd's Bush",131922
"Stephendale Road, Sands End",131807
"Albert Bridge Road, Battersea Park",131622
"Buckingham Gate, Westminster",131273
"Riverlight North, Nine Elms",131028
"Erin Close, Walham Green",130301
"Strata, Elephant & Castle",130146
"Phillimore Gardens, Kensington",129970
"Hatton Garden, Holborn",129697
"Pott Street, Bethnal Green",129141
"Wenlock Road , Hoxton",128828
"Alderney Street, Pimlico",128339
"Allington Street, Victoria",128336
"New Road 1 , Whitechapel",128301
"Theobald's Road , Holborn",128243
"St. George's Square, Pimlico",127805
"Haggerston Road, Haggerston",127714
"Palace Gardens Terrace, Notting Hill",127163
"Brick Lane Market, Shoreditch",127036
"Cadogan Close, Victoria Park",126790
"Bishop's Bridge Road West, Bayswater",125695
"Fire Brigade Pier, Vauxhall",125682
"Rampayne Street, Pimlico",125029
"Imperial Wharf Station, Sands End",124879
"Sutton Street, Shadwell",124870
"Seville Street, Knightsbridge",124805
"Page Street, Westminster",124794
"New Fetter Lane, Holborn",124494
"Northington Street , Holborn",124006
"Finsbury Square , Moorgate",123750
"Eastbourne Mews, Paddington",123703
"Tallis Street, Temple",123375
"Dorset Square, Marylebone",122973
"Chadwell Street, Angel",122961
"Millbank Tower, Pimlico",122777
"Southwark Station 2, Southwark",122640
"York Hall, Bethnal Green",122406
"Cadogan Gardens, Chelsea",122281
"Bouverie Street, Temple",122194
"Vicarage Crescent, Battersea",121708
"Abbey Orchard Street, Westminster",121574
"Kensington Church Street, Kensington",121483
"Columbia Road, Shoreditch",121471
"Sadlers Sports Centre, Finsbury",121256
"Earnshaw Street , Covent Garden",121102
"Normand Park, West Kensington",120982
"Watney Street, Shadwell",120980
"Winsland Street, Paddington",120951
"Gloucester Street, Pimlico",120805
"Goldsmith's Row, Haggerston",120247
"Broadcasting House, Marylebone",119550
"Great Russell Street, Bloomsbury",119532
"Broadwick Street, Soho",119509
"Old Brompton Road, South Kensington",118747
"De Vere Gardens, Kensington",117872
"Snowsfields, London Bridge",117496
"Crisp Road, Hammersmith",117260
"Turquoise Island, Notting Hill",116939
"Macclesfield Rd, St Lukes",116742
"Natural History Museum, South Kensington",116648
"Twig Folly Bridge, Mile End",116331
"Penywern Road, Earl's Court",116160
"Jubilee Plaza, Canary Wharf",116138
"Crawford Street, Marylebone",116096
"LMU Commercial Road, Whitechapel",116040
"Chapel Place, Marylebone",115700
"Stamford Street, South Bank",115500
"Harriet Street, Knightsbridge",115431
"Jewry Street, Aldgate",114319
"Wapping Lane, Wapping",114289
"Hertford Road, De Beauvoir Town",114250
"Barons Court Station, West Kensington",113920
"Snow Hill, Farringdon",113851
"Tate Modern, Bankside",113496
"Brunswick Square, Bloomsbury",113385
"Sackville Street, Mayfair",113380
"Gloucester Road (North), Kensington",113128
"Fanshaw Street, Hoxton",113058
"Ontario Street, Elephant & Castle",112995
"Norton Folgate, Liverpool Street",112969
"Cartwright Gardens , Bloomsbury",112804
"New Cavendish Street, Marylebone",112711
"Southampton Place, Holborn",112333
"Knightsbridge, Hyde Park",112214
"Sopwith Way, Battersea Park",112079
"Queen's Gate (North), Kensington",111973
"Prince Albert Road, The Regent's Park",111844
"Horseferry Road, Westminster",111824
"Empire Square, The Borough",111616
"Baldwin Street, St. Luke's",111383
"The Tennis Courts, The Regent's Park",111195
"Ilchester Gardens, Bayswater",111175
"Edgware Road Station, Marylebone",111107
"North Audley Street, Mayfair",110816
"The Vale, Chelsea",110763
"Ansell House, Stepney",110740
"Royal Avenue 2, Chelsea",110362
"New Globe Walk, Bankside",110146
"Central House, Aldgate",109613
"Poured Lines, Bankside",109491
"Charles II Street, West End",109423
"St. Peter's Terrace, Fulham",109396
"Great Titchfield Street, Fitzrovia",109355
"George Street, Marylebone",109189
"Tachbrook Street, Victoria",108954
"Taviton Street, Bloomsbury",108484
"Phene Street, Chelsea",108252
"Hammersmith Road, Hammersmith",108030
"South Lambeth Road, Vauxhall",107728
"St. Mary Axe, Aldgate",107519
"Regent's Row , Haggerston",106647
"Portland Place, Marylebone",106578
"Strand, Strand",106563
"Old Montague Street, Whitechapel",106544
"Ada Street, Hackney Central",106514
"Coomer Place, West Kensington",106473
"Tavistock Place, Bloomsbury",106248
"Westferry Circus, Canary Wharf",106211
"Chelsea Bridge, Pimlico",106181
"Harcourt Terrace, West Brompton",106031
"Rodney Road , Walworth",105665
"Windsor Terrace, Hoxton",105464
"Bell Lane, Liverpool Street",105355
"Queen's Gate (South), South Kensington",105228
"Birkenhead Street, King's Cross",105126
"Christian Street, Whitechapel",104572
"Beaumont Street, Marylebone",104571
"High Holborn , Covent Garden",103987
"Chesilton Road, Fulham",103949
"Grosvenor Square, Mayfair",103922
"Golden Lane, Barbican",103913
"Holy Trinity Brompton, Knightsbridge",103862
"Warwick Square, Pimlico",102753
"Exhibition Road Museums, South Kensington",102724
"Simpson Street, Clapham Junction",102576
"Smith Square, Westminster",102541
"Embankment (Savoy), Strand",102186
"Lower Marsh, Waterloo",102174
"Charlotte Street, Fitzrovia",102146
"Albany Street, The Regent's Park",101765
"Westbourne Grove, Bayswater",101600
"Queen Mary's, Mile End",101566
"Driffield Road, Old Ford",101362
"Gloucester Avenue, Camden Town",101230
"St. Katharine's Way, Tower",101056
"Southwick Street, Paddington",101005
"Upper Bank Street, Canary Wharf",100904
"Lansdowne Road, Ladbroke Grove",100846
"Devonshire Square, Liverpool Street",100526
"Ebury Bridge, Pimlico",99975
"Christopher Street, Liverpool Street",99789
"Borough High Street, The Borough",99723
"Globe Town Market, Bethnal Green",99578
"Battersea Park Road, Nine Elms",99543
"Caldwell Street, Stockwell",99455
"City Road, Angel",99414
"Bridge Avenue, Hammersmith",99204
"Portman Square, Marylebone",99176
"Warwick Road, Olympia",98960
"Doddington Grove, Kennington",98877
"Blackfriars Road, Southwark",98834
"St. Luke's Church, Chelsea",98698
"Gunmakers Lane, Old Ford",98697
"Bow Church Station, Bow",98575
"Great Dover Street, The Borough",98435
"Roscoe Street, St. Luke's",98382
"Black Prince Road, Vauxhall",98346
"Belvedere Road 1, South Bank",98098
"Kennington Oval, Oval",98020
"Lollard Street, Vauxhall",98009
"Saunders Ness Road, Cubitt Town",97858
"Waterloo Road, South Bank",97755
"Prince of Wales Drive, Battersea Park",97736
"East Village, Queen Elizabeth Olympic Park",97686
"Torrens Street, Angel",97557
"Hampton Street, Walworth",97492
"Hereford Road, Bayswater",97467
"Austin Road, Battersea Park",97353
"Commercial Street, Shoreditch",97144
"Paddington Street, Marylebone",96903
"Clapham Common North Side, Clapham Common",96792
"Clifton Road, Maida Vale",96216
"World's End Place, West Chelsea",95656
"Baker Street, Marylebone",95640
"Pont Street, Knightsbridge",95613
"Union Street, The Borough",95515
"Barbican Centre, Barbican",95447
"Long Lane , Bermondsey",95370
"Wellington Row, Bethnal Green",95348
"Hartington Road, Stockwell",95336
"Wandsworth Town Station, Wandsworth",95146
"Fisherman's Walk West, Canary Wharf",95083
"Reardon Street, Wapping",95074
"Monier Road, Hackney Wick",95046
"Euston Road, Euston",94830
"Blenheim Crescent, Ladbroke Grove",94741
"Old Ford Road, Bethnal Green",94525
"Kingsway Southbound, Strand",94347
"Timber Lodge, Queen Elizabeth Olympic Park",94346
"Durant Street, Bethnal Green",94247
"Furze Green, Bow",94018
"Manresa Road, Chelsea",93924
"Kennington Road  , Vauxhall",93786
"The Green Bridge, Mile End",93724
"Swan Street, The Borough",93484
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",93456
"Sandilands Road, Walham Green",93449
"Cloudesley Road, Angel",93382
"Dock Street, Wapping",93290
"Greyhound Road, Hammersmith",93267
"Farringdon Lane, Clerkenwell",93229
"North Wharf Road, Paddington",93009
"Danvers Street, West Chelsea",92901
"Albert Gardens, Stepney",92757
"Grant Road East, Clapham Junction",92749
"Riverlight South, Nine Elms",92361
"East Road, Hoxton",92232
"Philpot Street, Whitechapel",92112
"Ravenscourt Park Station, Hammersmith",91850
"Great Percy Street, Clerkenwell",91785
"Finlay Street, Fulham",91234
"Walworth Road, Elephant & Castle",91224
"Bell Street , Marylebone",91116
"Lexham Gardens, Kensington",90523
"Queen's Gate (Central), South Kensington",90320
"Albert Embankment, Vauxhall",90291
"Bethnal Green Garden, Bethnal Green",89824
"Battersea Church Road, Battersea",89641
"Webber Street , Southwark",89620
"Sun Street, Liverpool Street",89606
"Lavington Street, Bankside",89521
"Aintree Street, Fulham",89282
"Regency Street, Westminster",89259
"Grove End Road, St. John's Wood",89164
"Sardinia Street, Holborn",88905
"Percival Street, Finsbury",88647
"Alfred Place, Bloomsbury",88574
"Ram Street, Wandsworth",88565
"Bury Place, Holborn",88541
"Houndsditch, Aldgate",88476
"St. George Street, Mayfair",88273
"Tyers Gate, Bermondsey",87635
"Trebovir Road, Earl's Court",87628
"Bow Road Station, Bow",87463
"Salmon Lane, Limehouse",87352
"Mile End Stadium, Mile End",87186
"Great Suffolk Street, The Borough",86828
"Claverton Street, Pimlico",86735
"Kennington Road Post Office, Oval",86375
"Clinton Road, Mile End",86347
"Emperor's Gate, South Kensington",86303
"Rainville Road, Hammersmith",86197
"Knaresborough Place, Earl's Court",86122
"Ormonde Gate, Chelsea",85904
"Speakers' Corner 1, Hyde Park",85835
"Royal College Street, Camden Town",85800
"Drummond Street , Euston",85768
"Bishop's Avenue, Fulham",85757
"St. Martin's Street, West End",85488
"Putney Bridge Station, Fulham",85454
"Chepstow Villas, Notting Hill",85242
"Mile End Park Leisure Centre, Mile End",84771
"Garnet Street, Shadwell",84717
"Vereker Road, West Kensington",84707
"Union Grove, Wandsworth Road",84686
"Seymour Place, Marylebone",84486
"Walnut Tree Walk, Vauxhall",84163
"Shouldham Street, Marylebone",83818
"Halford Road, West Kensington",83796
"Wandsworth Rd, Isley Court, Wandsworth Road",83741
"Stonecutter Street, Holborn",83638
"Watney Market, Stepney",83352
"Cephas Street, Bethnal Green",83290
"Concert Hall Approach 1, South Bank",83277
"Foley Street, Fitzrovia",83068
"Hortensia Road, West Brompton",82949
"Cadogan Place, Knightsbridge",82639
"George Place Mews, Marylebone",82400
"Bevington Road West, North Kensington",82316
"London Zoo,  The Regent's Park",82104
"West Cromwell Road, Earl's Court",82024
"St. John's Road, Clapham Junction",81766
"Westminster University, Marylebone",81567
"Alfreda Street, Battersea Park",81477
"Stratford Station, Stratford",81416
"Shoreditch Court, Haggerston",81305
"London Zoo Car Park, The Regent's Park",81064
"William Morris Way, Sands End",80693
"Concert Hall Approach 2, South Bank",80476
"Finsbury Library , Finsbury",80220
"Gloucester Road (Central), South Kensington",80166
"Ossulston Street, Somers Town",80130
"Jubilee Street, Stepney",79955
"Albert Square, Stockwell",79784
"New Kent Road, The Borough",79770
"Fulham Park Road, Fulham",79230
"Queensway, Kensington Gardens",78990
"Borough Road, Elephant & Castle",78949
"Vincent Street, Pimlico",78935
"Ampton Street , Clerkenwell",78872
"Parkway, Camden Town",78689
"Margery Street, Clerkenwell",78479
"Fashion Street, Whitechapel",78345
"Gloucester Terrace, Bayswater",78327
"Humbolt Road, Fulham",78305
"Burdett Road, Mile End",78267
"Hoxton Station, Hoxton",78231
"Cheshire Street, Bethnal Green",78083
"Southwark Station 1, Southwark",78081
"Kennington Station, Kennington",78038
"St. John's Wood Church, The Regent's Park",78018
"South Park, Sands End",77905
"Pitfield Street Central, Hoxton",77796
"Hibbert Street, Battersea",77775
"Richmond Way, Shepherd's Bush",77767
"Prince Consort Road, Knightsbridge",77729
"Archbishop's Park, Waterloo",77697
"Silverthorne Road, Battersea",77670
"Ashley Crescent, Battersea",77573
"St. Chad's Street, King's Cross",77558
"Collingham Gardens, Earl's Court",77401
"Nutford Place, Marylebone",77380
"St. Mark's Road, North Kensington",77359
"Pembridge Villas, Notting Hill",77247
"Falkirk Street, Hoxton",76963
"Lambeth North Station, Waterloo",76931
"Surrey Lane, Battersea",76899
"Ashmole Estate, Oval",76789
"Bonner Gate, Victoria Park",76716
"Scala Street, Fitzrovia",76665
"Arlington Road, Camden Town",76579
"Murray Grove , Hoxton",76344
"Shepherd's Bush Road North, Shepherd's Bush",75804
"Bancroft Road, Bethnal Green",75612
"Rathbone Street, Fitzrovia",75512
"Lots Road, West Chelsea",75416
"Gaywood  Street, Elephant & Castle",75293
"Wapping High Street, Wapping",75046
"Red Lion Square, Holborn",74827
"Maclise Road, Olympia",74645
"Fore Street, Guildhall",74521
"Eel Brook Common, Walham Green",74445
"Bourne Street, Belgravia",74388
"Butler Place, Westminster",74368
"Westbourne Park Road, Portobello",74253
"BBC White City, White City",74098
"Curzon Street, Mayfair",74089
"Park Lane, Mayfair",73875
"Woodstock Street, Mayfair",73819
"Park Street, Bankside",73659
"Lambeth Road, Vauxhall",73628
"Carnegie Street, King's Cross",73330
"Charing Cross Hospital, Hammersmith",73269
"Sumner Place, South Kensington",73249
"Wellington Road, St. John's Wood",73133
"Gas Holders, Battersea Park",73075
"Northdown Street, King's Cross",73027
"Harrington Square 2, Camden Town",72925
"Antill Road, Mile End",72894
"Charlotte Terrace, Angel",72704
"Palissy Street, Shoreditch",72274
"Claremont Square, Angel",72166
"Holland Park, Kensington",72149
"Chelsea Green, Chelsea",72139
"Sea Containers, South Bank",72113
"Thorndike Close, West Chelsea",71883
"Argyll Road, Kensington",71831
"Harrowby Street, Marylebone",71684
"Handyside Street, King's Cross",71621
"Newton Street, Covent Garden",71583
"Cranmer Road, Stockwell",71479
"Wood Street, Guildhall",71457
"Star Road, West Kensington",71453
"Osiers Road, Wandsworth",71304
"Pancras Road, King's Cross",71298
"Finnis Street, Bethnal Green",71212
"Gower Place , Euston",71120
"Cleveland Gardens, Bayswater",70868
"St. John's Wood Road, St. John's Wood",70803
"Brook Green South, Brook Green",70709
"Maida Vale, Maida Vale",70568
"Lower Thames Street, Monument",70554
"Everington Street, Fulham",70481
"Hardwick Street, Clerkenwell",70411
"West Kensington Station, West Kensington",70260
"Vauxhall Walk, Vauxhall",70118
"Putney Pier, Wandsworth",70075
"Westfield Ariel Way, White City",70003
"Belvedere Road 2, South Bank",69877
"Bedford Way, Bloomsbury",69845
"Whiston Road, Haggerston",69650
"Southerton Road, Hammersmith",69622
"Imperial Road, Sands End",69382
"Bruton Street, Mayfair",69278
"Saltoun Road, Brixton",69130
"Nevern Place, Earl's Court",68984
"Olympia Way, Olympia",68433
"Michael Road, Walham Green",68430
"Kensington Gore, Knightsbridge",67958
"Breams Buildings, Holborn",67867
"Victoria & Albert Museum, South Kensington",67846
"Royal Avenue 1, Chelsea",67822
"Courland Grove, Wandsworth Road",67754
"Goswell Road (City Uni), Finsbury",67712
"Eaton Square, Belgravia",67654
"LSBU (Borough Road), Elephant & Castle",67250
"Hermitage Court, Wapping",67208
"Queensbridge Road, Haggerston",67142
"Vauxhall Bridge , Pimlico",67032
"Speakers' Corner 2, Hyde Park",67010
"St. John Street, Finsbury",66845
"Upcerne Road, West Chelsea",66765
"Irene Road, Parsons Green",66718
"Hewison Street, Old Ford",66562
"Beryl Road, Hammersmith",66314
"Crabtree Lane, Fulham",66120
"Rochester Row, Westminster",66067
"Ford Road, Old Ford",65976
"Hoxton Street, Hoxton",65883
"Guildhouse Street, Victoria",65827
"The Guildhall, Guildhall",65709
"King Edward Street, St Pauls",65695
"Chancery Lane, Holborn",65689
"Charlbert Street, St. John's Wood",65432
"Mostyn Grove, Bow",65295
"Dorothy Road, Clapham Junction",65137
"Eversholt Street , Camden Town",64802
"Grosvenor Road, Pimlico",64626
"Abingdon Villas, Kensington",64312
"South Parade, Chelsea",64042
"Waterloo Bridge, South Bank",63895
"River Street , Clerkenwell",63681
"Harper Road, The Borough",63562
"Crinan Street, King's Cross",63494
"Sail Street, Vauxhall",63454
"Lindfield Street, Poplar",63396
"Lincoln's Inn Fields, Holborn",63337
"Longford Street, The Regent's Park",63312
"Rectory Square, Stepney",63224
"Orbel Street, Battersea",63177
"Usk Road, Clapham Junction",62689
"Warwick Row, Westminster",62404
"Coram Street, Bloomsbury",62401
"Belgrave Square, Belgravia",62083
"Princedale Road , Holland Park",62060
"Harford Street, Mile End",61709
"Aberdeen Place, St. John's Wood",61413
"Ackroyd Drive, Bow",61193
"Millennium Hotel, Mayfair",61166
"Sancroft Street, Vauxhall",61119
"Eaton Square (South), Belgravia",61019
"Gwendwr Road, West Kensington",60849
"Kensington Olympia Station, Olympia",60807
"Wendon Street, Old Ford",60346
"Hansard Mews, Holland Park",60149
"Felsham Road, Putney",59978
"Whiteley's, Bayswater",59806
"Sugden Road, Clapham",59715
"Frampton Street, Paddington",59685
"Clifton Street, Shoreditch",59661
"St Mary's Hospital, Paddington",59626
"Hollybush Gardens, Bethnal Green",59388
"Westfield Southern Terrace ,Shepherd's Bush",59189
"Stanhope Gate, Mayfair",59134
"Disraeli Road, Putney",58800
"Cotton Garden Estate, Kennington",58608
"Risinghill Street, Angel",58557
"Vauxhall Street, Vauxhall",58375
"Princes Square, Bayswater",58313
"Aylward Street, Stepney",58184
"Neville Gill Close, Wandsworth",58166
"Blackfriars Station, St. Paul's",57592
"Bishop's Bridge Road East, Bayswater",57563
"Westfield Library Corner, Shepherd's Bush",56981
"All Saints' Road, Portobello",56921
"Sheepcote Lane, Battersea",56791
"Walworth Square, Walworth",56713
"Normandy Road, Stockwell",56612
"Southwark Street, Bankside",56572
"Chrisp Street Market, Poplar",56351
"Clapham Common Station, Clapham Common",56230
"East India DLR, Blackwall",56079
"Maplin Street, Mile End",55928
"Lightermans Road, Millwall",55567
"Grafton Street, Mayfair",55549
"Cromer Street, Bloomsbury",55501
"Devons Road, Bow",55433
"Smugglers Way, Wandsworth",54729
"London Fields, Hackney Central",54685
"Ferndale Road, Brixton",54545
"Belford House, Haggerston",54470
"Buxton Street 1, Shoreditch",54285
"Vicarage Gate, Kensington",53824
"Stainsby Road , Poplar",53692
"Blythe Road West, Shepherd's Bush",53655
"Pindar Street, Liverpool Street",53451
"Houghton Street, Strand",53135
"Abyssinia Close, Clapham Junction",52771
"One Tower Bridge, Bermondsey",52700
"Little Brook Green, Brook Green",52638
"Denyer Street, Knightsbridge",52039
"Lisson Grove, St. John's Wood",51922
"Clarence Walk, Stockwell",51897
"Appold Street, Liverpool Street",51885
"Kensington Town Hall, Kensington",51273
"Cleaver Street, Kennington",51033
"Clapham Road, Lingham Street, Stockwell",50904
"Aston Street, Stepney",50814
"Vincent Square, Westminster",50428
"Manbre Road, Hammersmith",49806
"Clarkson Street, Bethnal Green",49805
"Victory Place, Walworth",49454
"Southern Grove, Bow",49203
"Farm Street, Mayfair",48567
"Marloes Road, Kensington",48453
"Kings Gate House, Westminster",48185
"Hawley Crescent, Camden Town",47779
"Stanley Grove, Battersea",47405
"Selby Street, Whitechapel",46926
"Cumberland Gate, Hyde Park",46785
"Belvedere Road, South Bank",46712
"Ranelagh Gardens, Fulham",46688
"Worship Street, Shoreditch",46455
"Greycoat Street , Westminster",46373
"New North Road 2, Hoxton",46319
"Temple Gardens, Temple",46316
"Calshot Street , King's Cross",45972
"South Audley Street, Mayfair",45852
"Clarendon Road, Avondale",45468
"Elysium Place, Fulham",45387
"Colombo Street, Southwark",44939
"Plough Terrace, Clapham Junction",44423
"Carey Street, Holborn",44108
"New Spring Gardens Walk, Vauxhall",43815
"Penfold Street, Marylebone",43554
"Pennington Street, Wapping",43401
"Putney Rail Station, Putney",43126
"Campden Hill Road, Notting Hill",43087
"Harrington Square 1, Camden Town",43029
"York Way, Kings Cross",42534
"Canton Street, Poplar",42163
"Dickens Square, Borough",42109
"Russell Gardens, Olympia",42098
"Bromley High Street, Bow",42077
"Teversham Lane, Stockwell",42032
"Heath Road, Battersea",41782
"Culvert Road, Battersea",41525
"Clarges Street, Mayfair",41093
"Sidney Road, Stockwell",41020
"St Martins Close, Camden Town",40992
"Alma Road, Wandsworth",40965
"Clifford Street, Mayfair",40931
"Upper Grosvenor Street, Mayfair",40913
"Grosvenor Crescent, Belgravia",40888
"Addison Road, Holland Park",40848
"George Row, Bermondsey",40586
"Broadley Terrace, Marylebone",40554
"Copper Box Arena, Queen Elizabeth Olympic Park",40335
"Napier Avenue, Millwall",40335
"Walmer Road, Avondale",39916
"Spindrift Avenue, Millwall",39822
"Heron Quays DLR, Canary Wharf",39683
"Mallory Street, Marylebone",39509
"Peterborough Road, Sands End",39287
"Northfields, Wandsworth",38918
"Rossmore Road, Marylebone",38262
"Abbotsbury Road, Holland Park",38191
"Killick Street, King's Cross",38136
"Naval Row, Blackwall",38085
"Here East North, Queen Elizabeth Olympic Park",37816
"Montserrat Road , Putney",37689
"Stewart's Road, Wandsworth Road",37429
"Merchant Street, Bow",37387
"Farringdon Street, Holborn",37291
"Hurlingham Park, Parsons Green",37168
"Alpha Grove, Millwall",37029
"New North Road 1, Hoxton",36957
"Kennington Lane Tesco, Vauxhall",36541
"Ilchester Place, Kensington",36483
"Tower Wharf, Bermondsey",36114
"Greenberry Street, St.John's Wood",36057
"Cardinal Place, Victoria",35943
"Gauden Road, Clapham",35918
"Broomhouse Lane, Parsons Green",35733
"Arundel Street, Temple",35179
"Putney Bridge Road, East Putney",35116
"Orsett Terrace, Bayswater",34998
"Holden Street, Battersea",34622
"King Edward Walk, Waterloo",34471
"Grenfell Road, Avondale",34362
"Bradmead, Battersea Park",33902
"Geraldine Street, Elephant & Castle",33824
"Queensdale Road, Shepherd's Bush",33619
"St John's Crescent, Brixton",33536
"Jubilee Crescent, Cubitt Town",33043
"Lancaster Drive, Blackwall",32820
"East Ferry Road, Cubitt Town",32764
"Thurtle road, Haggerston",32479
"Westminster Bridge Road, Elephant & Castle",32427
"Rifle Place, Avondale",32079
"Paddington Green Police Station, Paddington",31787
"Import Dock, Canary Wharf",31768
"Freston Road, Avondale",31660
"Newby Place, Poplar",31450
