end_station_name,num
"Belgrave Road, Victoria",134847
"Good's Way, King's Cross",134833
"Woodstock Grove, Shepherd's Bush",134718
"Page Street, Westminster",133938
"Bricklayers Arms, Borough",133747
"Bramham Gardens, Earl's Court",133510
"Guilford Street , Bloomsbury",133368
"Stamford Street, South Bank",133043
"Erin Close, Walham Green",132948
"Bouverie Street, Temple",132886
"Bolsover Street, Fitzrovia",132791
"Bonny Street, Camden Town",131695
"Strata, Elephant & Castle",131529
"Parson's Green , Parson's Green",131519
"Granby Street, Shoreditch",131199
"Warwick Avenue Station, Maida Vale",131134
"Boston Place, Marylebone",130229
"Stephendale Road, Sands End",129686
"Allington Street, Victoria",129176
"Riverlight North, Nine Elms",128498
"New Road 1 , Whitechapel",128477
"Cadogan Gardens, Chelsea",128390
"Devonshire Terrace, Bayswater",128309
"Seville Street, Knightsbridge",127984
"Albert Bridge Road, Battersea Park",127936
"Snowsfields, London Bridge",127151
"Pott Street, Bethnal Green",126879
"Cadogan Close, Victoria Park",126834
"Brick Lane Market, Shoreditch",126358
"Theobald's Road , Holborn",126124
"Earnshaw Street , Covent Garden",126062
"Imperial Wharf Station, Sands End",125169
"Broadwick Street, Soho",125051
"Northington Street , Holborn",124650
"Haggerston Road, Haggerston",124355
"Doric Way , Somers Town",124084
"Millbank Tower, Pimlico",123992
"Chapel Place, Marylebone",123872
"Wren Street, Holborn",123859
"Broadcasting House, Marylebone",123654
"Dorset Square, Marylebone",123321
"Norton Folgate, Liverpool Street",123192
"Great Russell Street, Bloomsbury",122863
"Charles II Street, West End",122494
"Harriet Street, Knightsbridge",122473
"Shadwell Station, Shadwell",122196
"Hampstead Road, Euston",122041
"Natural History Museum, South Kensington",121665
"Hatton Garden, Holborn",121562
"Kensington Church Street, Kensington",121550
"Sackville Street, Mayfair",121527
"Crisp Road, Hammersmith",120651
"Rampayne Street, Pimlico",120212
"Alderney Street, Pimlico",120167
"Bishop's Bridge Road West, Bayswater",120153
"St. George's Square, Pimlico",120022
"Normand Park, West Kensington",119461
"Jubilee Plaza, Canary Wharf",119458
"York Hall, Bethnal Green",119347
"Horseferry Road, Westminster",118995
"Shoreditch Park, Hoxton",118761
"Tate Modern, Bankside",118672
"Pitfield Street North,Hoxton",118532
"Southwark Station 2, Southwark",118307
"Winsland Street, Paddington",118176
"Jewry Street, Aldgate",118056
"Vicarage Crescent, Battersea",117772
"Sadlers Sports Centre, Finsbury",117646
"Grosvenor Square, Mayfair",117401
"New Fetter Lane, Holborn",117291
"George Street, Marylebone",116995
"New Cavendish Street, Marylebone",116398
"Southampton Place, Holborn",116209
"Sutton Street, Shadwell",115628
"Strand, Strand",115422
"Empire Square, The Borough",115202
"North Audley Street, Mayfair",114997
"Poured Lines, Bankside",114983
"Snow Hill, Farringdon",114611
"Ontario Street, Elephant & Castle",114571
"Stonecutter Street, Holborn",114425
"Gloucester Road (North), Kensington",114151
"Royal Avenue 2, Chelsea",114071
"Holy Trinity Brompton, Knightsbridge",113906
"Crawford Street, Marylebone",113376
"Smith Square, Westminster",113270
"Embankment (Savoy), Strand",113252
"Turquoise Island, Notting Hill",112970
"Wapping Lane, Wapping",112968
"Christopher Street, Liverpool Street",112895
"Old Brompton Road, South Kensington",112699
"Sopwith Way, Battersea Park",112487
"LMU Commercial Road, Whitechapel",111902
"Queen's Gate (North), Kensington",111758
"The Vale, Chelsea",111618
"Watney Street, Shadwell",111307
"Penywern Road, Earl's Court",111268
"New Globe Walk, Bankside",111191
"Great Titchfield Street, Fitzrovia",111141
"St. Mary Axe, Aldgate",111111
"Ada Street, Hackney Central",111076
"Westferry Circus, Canary Wharf",110809
"The Tennis Courts, The Regent's Park",110751
"Brunswick Square, Bloomsbury",110743
"Baldwin Street, St. Luke's",110713
"Belvedere Road 1, South Bank",110618
"Columbia Road, Shoreditch",110247
"Central House, Aldgate",109859
"Fire Brigade Pier, Vauxhall",109804
"Goldsmith's Row, Haggerston",109639
"Palace Gardens Terrace, Notting Hill",109450
"Bell Lane, Liverpool Street",108888
"High Holborn , Covent Garden",108654
"Hammersmith Road, Hammersmith",108603
"Barons Court Station, West Kensington",108586
"Gloucester Street, Pimlico",108518
"Twig Folly Bridge, Mile End",108062
"Birkenhead Street, King's Cross",107636
"Chadwell Street, Angel",107529
"Prince Albert Road, The Regent's Park",107214
"Tachbrook Street, Victoria",107210
"Eastbourne Mews, Paddington",106948
"Golden Lane, Barbican",106421
"South Lambeth Road, Vauxhall",106341
"Portland Place, Marylebone",106292
"Lower Marsh, Waterloo",106023
"Coomer Place, West Kensington",105776
"Phene Street, Chelsea",105699
"St. Peter's Terrace, Fulham",105448
"Regent's Row , Haggerston",105186
"Exhibition Road Museums, South Kensington",104912
"Saunders Ness Road, Cubitt Town",104830
"Lancaster Gate , Bayswater",104825
"Queen's Gate (South), South Kensington",104756
"Wenlock Road , Hoxton",104741
"Charlotte Street, Fitzrovia",104679
"Kingsway Southbound, Strand",104621
"Taviton Street, Bloomsbury",104553
"Upper Bank Street, Canary Wharf",104328
"Portman Square, Marylebone",104219
"St. George Street, Mayfair",104060
"De Vere Gardens, Kensington",103989
"Ansell House, Stepney",103641
"Old Montague Street, Whitechapel",103431
"Devonshire Square, Liverpool Street",103174
"Beaumont Street, Marylebone",103035
"Bridge Avenue, Hammersmith",102713
"Cartwright Gardens , Bloomsbury",102629
"Simpson Street, Clapham Junction",102491
"Caldwell Street, Stockwell",101535
"Ilchester Gardens, Bayswater",101480
"Chelsea Bridge, Pimlico",101353
"Hertford Road, De Beauvoir Town",101304
"Pont Street, Knightsbridge",101280
"Wandsworth Town Station, Wandsworth",101067
"Chesilton Road, Fulham",100705
"Blackfriars Road, Southwark",100633
"Commercial Street, Shoreditch",100539
"Roscoe Street, St. Luke's",100176
"Fanshaw Street, Hoxton",100013
"Harcourt Terrace, West Brompton",99787
"Waterloo Road, South Bank",99761
"Lansdowne Road, Ladbroke Grove",99605
"St. Luke's Church, Chelsea",99464
"Borough High Street, The Borough",99359
"Driffield Road, Old Ford",99357
"Kennington Oval, Oval",99056
"Grant Road East, Clapham Junction",99017
"Barbican Centre, Barbican",98562
"Rodney Road , Walworth",98489
"Warwick Road, Olympia",98276
"St. Katharine's Way, Tower",98176
"East Village, Queen Elizabeth Olympic Park",98088
"Fisherman's Walk West, Canary Wharf",97631
"Concert Hall Approach 2, South Bank",97305
"Sun Street, Liverpool Street",96989
"Ravenscourt Park Station, Hammersmith",96950
"Queen Mary's, Mile End",96772
"Westbourne Grove, Bayswater",96665
"Tavistock Place, Bloomsbury",96609
"Walworth Road, Elephant & Castle",96120
"Gunmakers Lane, Old Ford",95972
"Doddington Grove, Kennington",95788
"Bow Church Station, Bow",95779
"Monier Road, Hackney Wick",95638
"Paddington Street, Marylebone",95586
"St. Martin's Street, West End",95332
"Prince of Wales Drive, Battersea Park",95208
"Manresa Road, Chelsea",95196
"Black Prince Road, Vauxhall",95087
"Union Street, The Borough",95033
"Blenheim Crescent, Ladbroke Grove",94875
"World's End Place, West Chelsea",94836
"Globe Town Market, Bethnal Green",94722
"Farringdon Lane, Clerkenwell",94701
"Cadogan Place, Knightsbridge",94275
"Macclesfield Rd, St Lukes",94042
"Hampton Street, Walworth",94006
"Gloucester Avenue, Camden Town",93978
"Baker Street, Marylebone",93916
"Battersea Park Road, Nine Elms",93890
"Edgware Road Station, Marylebone",93874
"Timber Lodge, Queen Elizabeth Olympic Park",93683
"Hartington Road, Stockwell",93505
"Dock Street, Wapping",93478
"Houndsditch, Aldgate",93419
"Great Dover Street, The Borough",93302
"Lavington Street, Bankside",93276
"Austin Road, Battersea Park",93242
"Long Lane , Bermondsey",93027
"St. John's Road, Clapham Junction",92958
"Sardinia Street, Holborn",92828
"Southwick Street, Paddington",92808
"Clapham Common North Side, Clapham Common",92446
"Ebury Bridge, Pimlico",92249
"Sandilands Road, Walham Green",92175
"Torrens Street, Angel",92171
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",91722
"Bury Place, Holborn",91701
"Danvers Street, West Chelsea",91660
"Furze Green, Bow",91625
"Ram Street, Wandsworth",91587
"Swan Street, The Borough",91236
"Reardon Street, Wapping",90918
"Queen's Gate (Central), South Kensington",90653
"Greyhound Road, Hammersmith",90471
"Alfred Place, Bloomsbury",90363
"Clifton Road, Maida Vale",90178
"Riverlight South, Nine Elms",89967
"Tyers Gate, Bermondsey",89940
"The Green Bridge, Mile End",89885
"Euston Road, Euston",89876
"Warwick Square, Pimlico",89515
"Finlay Street, Fulham",89343
"Christian Street, Whitechapel",89247
"Parkway, Camden Town",89149
"Old Ford Road, Bethnal Green",88801
"Concert Hall Approach 1, South Bank",88747
"Lollard Street, Vauxhall",88533
"Windsor Terrace, Hoxton",88418
"Hereford Road, Bayswater",88244
"Southwark Station 1, Southwark",87399
"Bell Street , Marylebone",87210
"St. Chad's Street, King's Cross",87139
"Clinton Road, Mile End",86933
"Bishop's Avenue, Fulham",86909
"Wellington Row, Bethnal Green",86893
"Putney Bridge Station, Fulham",86521
"Ormonde Gate, Chelsea",86366
"Philpot Street, Whitechapel",86321
"Lexham Gardens, Kensington",86315
"Bethnal Green Garden, Bethnal Green",86286
"Speakers' Corner 1, Hyde Park",85884
"Albert Gardens, Stepney",85711
"Albany Street, The Regent's Park",85692
"Albert Embankment, Vauxhall",85487
"Trebovir Road, Earl's Court",85251
"Emperor's Gate, South Kensington",85136
"Kennington Road  , Vauxhall",85060
"Rainville Road, Hammersmith",85020
"Prince Consort Road, Knightsbridge",85020
"Butler Place, Westminster",85006
"Battersea Church Road, Battersea",84997
"Stratford Station, Stratford",84930
"Curzon Street, Mayfair",84738
"Aintree Street, Fulham",84573
"Regency Street, Westminster",84437
"Kennington Road Post Office, Oval",84376
"North Wharf Road, Paddington",84355
"Salmon Lane, Limehouse",84275
"Great Suffolk Street, The Borough",84003
"Knaresborough Place, Earl's Court",83836
"Durant Street, Bethnal Green",83762
"Mile End Stadium, Mile End",83728
"Archbishop's Park, Waterloo",83491
"Foley Street, Fitzrovia",83417
"Great Percy Street, Clerkenwell",83366
"Knightsbridge, Hyde Park",83151
"Webber Street , Southwark",82932
"Union Grove, Wandsworth Road",82668
"Halford Road, West Kensington",82544
"East Road, Hoxton",82038
"Bow Road Station, Bow",81842
"George Place Mews, Marylebone",81751
"Fore Street, Guildhall",81656
"Vereker Road, West Kensington",81618
"Bevington Road West, North Kensington",81233
"William Morris Way, Sands End",81021
"Mile End Park Leisure Centre, Mile End",81021
"Westminster University, Marylebone",80938
"Seymour Place, Marylebone",80620
"London Zoo,  The Regent's Park",80569
"Hortensia Road, West Brompton",80340
"Borough Road, Elephant & Castle",80243
"Garnet Street, Shadwell",80224
"Gloucester Road (Central), South Kensington",79859
"Scala Street, Fitzrovia",79857
"Alfreda Street, Battersea Park",79738
"Fashion Street, Whitechapel",79718
"Percival Street, Finsbury",79498
"Shouldham Street, Marylebone",79206
"Grove End Road, St. John's Wood",79183
"Putney Pier, Wandsworth",78925
"Hibbert Street, Battersea",78866
"New Kent Road, The Borough",78853
"Wandsworth Rd, Isley Court, Wandsworth Road",78651
"West Cromwell Road, Earl's Court",78522
"Kennington Station, Kennington",78368
"Burdett Road, Mile End",78345
"City Road, Angel",78057
"Ossulston Street, Somers Town",77846
"Richmond Way, Shepherd's Bush",77576
"St. Mark's Road, North Kensington",77430
"BBC White City, White City",77392
"Saltoun Road, Brixton",77302
"Bruton Street, Mayfair",77219
"Lambeth North Station, Waterloo",77211
"Shepherd's Bush Road North, Shepherd's Bush",77199
"Claverton Street, Pimlico",77052
"Watney Market, Stepney",77036
"Westfield Ariel Way, White City",76873
"Fulham Park Road, Fulham",76785
"Arlington Road, Camden Town",76767
"Park Street, Bankside",76755
"Vincent Street, Pimlico",76747
"Newton Street, Covent Garden",76473
"Rathbone Street, Fitzrovia",76466
"Cephas Street, Bethnal Green",76451
"London Zoo Car Park, The Regent's Park",76417
"Queensway, Kensington Gardens",76267
"Silverthorne Road, Battersea",76133
"Belvedere Road 2, South Bank",76119
"Wood Street, Guildhall",75945
"Sumner Place, South Kensington",75241
"South Park, Sands End",74836
"Woodstock Street, Mayfair",74753
"Royal College Street, Camden Town",74702
"Bonner Gate, Victoria Park",74626
"Bourne Street, Belgravia",74579
"Shoreditch Court, Haggerston",74410
"Southerton Road, Hammersmith",74389
"Walnut Tree Walk, Vauxhall",74333
"Gas Holders, Battersea Park",74262
"Victoria & Albert Museum, South Kensington",74186
"Chelsea Green, Chelsea",74100
"Humbolt Road, Fulham",74000
"Wapping High Street, Wapping",73792
"Albert Square, Stockwell",73791
"Margery Street, Clerkenwell",73684
"Sea Containers, South Bank",73449
"Gaywood  Street, Elephant & Castle",73437
"Argyll Road, Kensington",73343
"Ashley Crescent, Battersea",73342
"Nutford Place, Marylebone",73310
"Rochester Row, Westminster",73189
"Collingham Gardens, Earl's Court",73054
"Lots Road, West Chelsea",73013
"Ashmole Estate, Oval",72905
"Finsbury Library , Finsbury",72741
"Maclise Road, Olympia",72653
"Park Lane, Mayfair",72548
"Lower Thames Street, Monument",72326
"The Guildhall, Guildhall",72214
"Cranmer Road, Stockwell",72008
"Vauxhall Walk, Vauxhall",71744
"Royal Avenue 1, Chelsea",71732
"Charing Cross Hospital, Hammersmith",71726
"Red Lion Square, Holborn",71703
"Gloucester Terrace, Bayswater",71404
"Eel Brook Common, Walham Green",71294
"Falkirk Street, Hoxton",70941
"Chepstow Villas, Notting Hill",70850
"Surrey Lane, Battersea",70699
"Lambeth Road, Vauxhall",70669
"King Edward Street, St Pauls",70544
"Pancras Road, King's Cross",70329
"Pembridge Villas, Notting Hill",70182
"Osiers Road, Wandsworth",70164
"Brook Green South, Brook Green",70099
"Maida Vale, Maida Vale",69989
"Westbourne Park Road, Portobello",69793
"Northdown Street, King's Cross",69364
"Hoxton Station, Hoxton",69354
"Ampton Street , Clerkenwell",69288
"Grafton Street, Mayfair",68434
"Bancroft Road, Bethnal Green",68349
"Breams Buildings, Holborn",68312
"West Kensington Station, West Kensington",68106
"Star Road, West Kensington",68021
"Handyside Street, King's Cross",67817
"Imperial Road, Sands End",67775
"Waterloo Bridge, South Bank",67709
"Lincoln's Inn Fields, Holborn",67550
"Michael Road, Walham Green",67510
"Everington Street, Fulham",67150
"Antill Road, Mile End",67144
"Jubilee Street, Stepney",67118
"LSBU (Borough Road), Elephant & Castle",67047
"Harrington Square 2, Camden Town",66817
"Chancery Lane, Holborn",66802
"Bedford Way, Bloomsbury",66542
"Courland Grove, Wandsworth Road",66512
"Speakers' Corner 2, Hyde Park",66371
"Cheshire Street, Bethnal Green",66162
"Harrowby Street, Marylebone",66040
"Drummond Street , Euston",66013
"Guildhouse Street, Victoria",65993
"Wellington Road, St. John's Wood",65950
"Westfield Southern Terrace ,Shepherd's Bush",65752
"Millennium Hotel, Mayfair",65624
"Nevern Place, Earl's Court",65594
"Hewison Street, Old Ford",65432
"Vauxhall Bridge , Pimlico",65253
"Eaton Square, Belgravia",65200
"Thorndike Close, West Chelsea",65171
"Finnis Street, Bethnal Green",65167
"Gower Place , Euston",65025
"South Parade, Chelsea",64960
"Crinan Street, King's Cross",64914
"Ford Road, Old Ford",64685
"Hansard Mews, Holland Park",64470
"Palissy Street, Shoreditch",64301
"Beryl Road, Hammersmith",64279
"Irene Road, Parsons Green",64219
"Olympia Way, Olympia",64014
"Warwick Row, Westminster",63950
"Abingdon Villas, Kensington",63659
"Upcerne Road, West Chelsea",63605
"Crabtree Lane, Fulham",63503
"Clifton Street, Shoreditch",63187
"Hermitage Court, Wapping",63176
"Eaton Square (South), Belgravia",63035
"Harper Road, The Borough",62969
"Felsham Road, Putney",62597
"Cleveland Gardens, Bayswater",62574
"Disraeli Road, Putney",62231
"Lindfield Street, Poplar",62149
"Dorothy Road, Clapham Junction",62093
"Whiteley's, Bayswater",61775
"Murray Grove , Hoxton",61750
"Neville Gill Close, Wandsworth",61601
"Kensington Gore, Knightsbridge",61545
"St. John's Wood Church, The Regent's Park",61467
"Mostyn Grove, Bow",61192
"Pitfield Street Central, Hoxton",61153
"Belgrave Square, Belgravia",61023
"Appold Street, Liverpool Street",60987
"Usk Road, Clapham Junction",60735
"Stanhope Gate, Mayfair",60649
"Vauxhall Street, Vauxhall",60612
"East India DLR, Blackwall",60171
"Princedale Road , Holland Park",59928
"Hollybush Gardens, Bethnal Green",59519
"Charlbert Street, St. John's Wood",59371
"Eversholt Street , Camden Town",59307
"Westfield Library Corner, Shepherd's Bush",59298
"Orbel Street, Battersea",58978
"Blackfriars Station, St. Paul's",58943
"Wendon Street, Old Ford",58792
"Sail Street, Vauxhall",58725
"Gwendwr Road, West Kensington",58533
"Whiston Road, Haggerston",58449
"Goswell Road (City Uni), Finsbury",58269
"Southwark Street, Bankside",58227
"Lightermans Road, Millwall",58092
"Cloudesley Road, Angel",57927
"Queensbridge Road, Haggerston",57906
"Rectory Square, Stepney",57810
"Harford Street, Mile End",57204
"Chrisp Street Market, Poplar",57107
"St Mary's Hospital, Paddington",57102
"Holland Park, Kensington",57000
"Pindar Street, Liverpool Street",56999
"St. John Street, Finsbury",56690
"Ferndale Road, Brixton",56587
"Normandy Road, Stockwell",56371
"Hoxton Street, Hoxton",56303
"Little Brook Green, Brook Green",56295
"Kensington Olympia Station, Olympia",56182
"Clapham Common Station, Clapham Common",56099
"Carnegie Street, King's Cross",55946
"Walworth Square, Walworth",55803
"Charlotte Terrace, Angel",55680
"Ackroyd Drive, Bow",55611
"New Spring Gardens Walk, Vauxhall",55576
"Smugglers Way, Wandsworth",55545
"Sancroft Street, Vauxhall",55495
"Maplin Street, Mile End",55364
"Houghton Street, Strand",55182
"Abyssinia Close, Clapham Junction",55145
"Grosvenor Road, Pimlico",54827
"London Fields, Hackney Central",54659
"Devons Road, Bow",54604
"Sheepcote Lane, Battersea",54581
"All Saints' Road, Portobello",54347
"One Tower Bridge, Bermondsey",53942
"Coram Street, Bloomsbury",53633
"Farm Street, Mayfair",53621
"Sugden Road, Clapham",53621
"Longford Street, The Regent's Park",53501
"Denyer Street, Knightsbridge",53409
"Cotton Garden Estate, Kennington",53245
"Kings Gate House, Westminster",52506
"Blythe Road West, Shepherd's Bush",52429
"Aylward Street, Stepney",52335
"Cromer Street, Bloomsbury",52078
"Stainsby Road , Poplar",50848
"Worship Street, Shoreditch",50841
"St. John's Wood Road, St. John's Wood",50449
"Belvedere Road, South Bank",50352
"Aberdeen Place, St. John's Wood",50331
"Vincent Square, Westminster",50194
"Princes Square, Bayswater",50114
"Kensington Town Hall, Kensington",50011
"Frampton Street, Paddington",49943
"Clapham Road, Lingham Street, Stockwell",49839
"Cleaver Street, Kennington",49573
"Clifford Street, Mayfair",49535
"Clarence Walk, Stockwell",49474
"Hawley Crescent, Camden Town",49442
"South Audley Street, Mayfair",49167
"Bishop's Bridge Road East, Bayswater",48965
"Buxton Street 1, Shoreditch",48508
"Manbre Road, Hammersmith",48000
"Aston Street, Stepney",47992
"Hardwick Street, Clerkenwell",47783
"Greycoat Street , Westminster",47763
"Temple Gardens, Temple",46870
"Vicarage Gate, Kensington",46769
"Claremont Square, Angel",46579
"Cumberland Gate, Hyde Park",46551
"Colombo Street, Southwark",46383
"Ranelagh Gardens, Fulham",46215
"Carey Street, Holborn",46209
"Marloes Road, Kensington",45800
"Southern Grove, Bow",45539
"Selby Street, Whitechapel",44605
"Clarges Street, Mayfair",44567
"Belford House, Haggerston",44551
"Victory Place, Walworth",44310
"River Street , Clerkenwell",44191
"Clarkson Street, Bethnal Green",44138
"Stanley Grove, Battersea",44073
"Teversham Lane, Stockwell",44053
"Clarendon Road, Avondale",44043
"Montserrat Road , Putney",43267
"Dickens Square, Borough",42795
"Lisson Grove, St. John's Wood",42693
"Putney Rail Station, Putney",42487
"Elysium Place, Fulham",42044
"Spindrift Avenue, Millwall",41650
"Bromley High Street, Bow",41459
"Canton Street, Poplar",41167
"Cardinal Place, Victoria",41162
"Heron Quays DLR, Canary Wharf",41026
"George Row, Bermondsey",40818
"York Way, Kings Cross",40514
"Napier Avenue, Millwall",40489
"Sidney Road, Stockwell",40359
"Copper Box Arena, Queen Elizabeth Olympic Park",40254
"Plough Terrace, Clapham Junction",39983
"Addison Road, Holland Park",39751
"Grosvenor Crescent, Belgravia",39719
"Russell Gardens, Olympia",39668
"Culvert Road, Battersea",39508
"Kennington Lane Tesco, Vauxhall",39404
"Naval Row, Blackwall",39074
"Here East North, Queen Elizabeth Olympic Park",38928
"New North Road 2, Hoxton",38902
"Calshot Street , King's Cross",38895
"Walmer Road, Avondale",38510
"Pennington Street, Wapping",38486
"Penfold Street, Marylebone",38080
"Northfields, Wandsworth",37914
"Heath Road, Battersea",37876
"Risinghill Street, Angel",37811
"Alpha Grove, Millwall",37524
"Farringdon Street, Holborn",37498
"Upper Grosvenor Street, Mayfair",37237
"Arundel Street, Temple",37134
"Peterborough Road, Sands End",37030
"St John's Crescent, Brixton",36965
"Harrington Square 1, Camden Town",36735
"St Martins Close, Camden Town",36513
"Tower Wharf, Bermondsey",36161
"Hurlingham Park, Parsons Green",35880
"Hammersmith Town Hall, Hammersmith",35824
"Gauden Road, Clapham",35231
"Abbotsbury Road, Holland Park",35091
"Merchant Street, Bow",35054
"Broomhouse Lane, Parsons Green",34683
"Queensdale Road, Shepherd's Bush",34672
"Stewart's Road, Wandsworth Road",34633
"Broadley Terrace, Marylebone",34250
"Grenfell Road, Avondale",34071
"Campden Hill Road, Notting Hill",34065
"Killick Street, King's Cross",33951
"Putney Bridge Road, East Putney",33938
"East Ferry Road, Cubitt Town",33702
"Fore Street Avenue, Guildhall",33497
"Newby Place, Poplar",32923
"Exhibition Road Museums 1, South Kensington",32856
"Freston Road, Avondale",32820
"Rossmore Road, Marylebone",32780
"Rifle Place, Avondale",32774
"Lancaster Drive, Blackwall",32754
"King Edward Walk, Waterloo",32712
"Holden Street, Battersea",32553
"Alma Road, Wandsworth",32472
"Import Dock, Canary Wharf",32188
"Jubilee Crescent, Cubitt Town",32175
"Canada Water Station, Rotherhithe",31772
"Mallory Street, Marylebone",31741
"Bradmead, Battersea Park",31608
"Exhibition Road Museums 2, South Kensington",31229
"Geraldine Street, Elephant & Castle",31031
"Evesham Street, Avondale",30805
"Ilchester Place, Kensington",30673
